barangay_id,barangay_name,intervention_type,intervention_name,priority_rank,estimated_cost_per_sqm,cooling_potential,stormwater_retention,pm25_removal,efficiency_score,explanation
Tabok,Tabok,green_roofs,Commercial Green Roofs,1,4540.446004697284,4.083229031118418,20.823379771832098,16.87963940864798,78.66176145774935,Selected for Tabok due to high surface temperatures and limited ground space.
Tabok,Tabok,street_trees,Native Street Trees,2,1384.9356442713104,3.3727299868828404,27.33618039413735,11.216968971838151,67.32442640800421,Selected for Tabok due to high accessibility needs and potential for cooling.
Tabok,Tabok,pocket_parks,Community Pocket Park,3,3472.7780074568464,2.416491656079217,44.474115788895176,6.557975442608168,46.24756431632238,Selected for Tabok due to dense population and need for community green space.
Alang-alang,Alang-alang,vertical_gardens,Vertical Green Walls,1,2843.0179407605756,1.8682096494749165,22.60206371941118,11.795542149013333,40.46450412719998,Selected for Alang-alang due to limited available land area.
Alang-alang,Alang-alang,green_roofs,Commercial Green Roofs,2,4623.358939246585,3.921845507669348,23.906884560255357,15.736932106048627,79.65632033074559,Selected for Alang-alang due to high surface temperatures and limited ground space.
Alang-alang,Alang-alang,permeable_paving,Permeable Pavement,3,1648.8152939379115,0.9980707640445081,21.375540844608736,3.6372816083151283,18.40152493739601,Selected for Alang-alang due to high flood risk and need for surface drainage.
Jagobiao,Jagobiao,rain_gardens,Stormwater Rain Gardens,1,2375.7995766256754,1.6579309401710596,43.915999152443405,6.687496940092467,32.75132823361115,Selected for Jagobiao due to susceptibility to flooding and stormwater runoff.
Jagobiao,Jagobiao,green_roofs,Commercial Green Roofs,2,4378.393144967658,3.8180909155642153,33.013213230530575,14.554709158757928,70.88492502051919,Selected for Jagobiao due to high surface temperatures and limited ground space.
Jagobiao,Jagobiao,street_trees,Native Street Trees,3,1631.4950036607718,3.4427013306774357,31.23738038749523,12.170784332632994,61.71349031773896,Selected for Jagobiao due to high accessibility needs and potential for cooling.
Cambaro,Cambaro,vertical_gardens,Vertical Green Walls,1,2882.742937539047,2.091602867216395,50.85081386743783,8.296178606936362,48.154614284548344,Selected for Cambaro due to limited available land area.
Cambaro,Cambaro,street_trees,Native Street Trees,2,1346.3476238100518,3.6452413703502375,44.93192507310232,11.323592099410597,62.584657285442724,Selected for Cambaro due to high accessibility needs and potential for cooling.
Cambaro,Cambaro,green_roofs,Commercial Green Roofs,3,4424.392928686265,3.930073328810699,49.18424713352256,15.550229885420853,70.63558350286024,Selected for Cambaro due to high surface temperatures and limited ground space.
